		N		NB		P		Q		Time		Gflops
            16348  128  1  1  114.26  2.550e+01   
            16348  128  1  2  65.00  4.482e+01   
            16348  128  2  1  65.76  4.430e+01   
            16348  128  2  2  31.21  9.333e+01   
            16348  128  2  3  22.29  1.307e+02   
            16348  128  3  2  22.16  1.315e+02   
            16348  128  4  2  17.59  1.656e+02   
            16348  128  2  4  17.82  1.635e+02   
            16348  128  4  4  10.34  2.818e+02   
            16348  128  4  6  7.85  3.710e+02   
            16348  128  6  4  7.80  3.737e+02   
